Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,fbref_id,90s_shooting_dup,Gls_shooting_dup,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting_dup,PKatt_shooting_dup,fbref_id_shooting_dup,90s_passing_dup,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast_passing_dup,A-xAG,KP,1/3,PPA,CrsPA,fbref_id_passing_dup,90s_possession_dup,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att_possession_dup,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession_dup,PrgDist_possession_dup,1/3_possession_dup,CPA,Mis,Dis,Rec,fbref_id_possession_dup,90s_defense_dup,Tkl,TklW,Def 3rd_defense_dup,Mid 3rd_defense_dup,Att 3rd_defense_dup,Tkl.1,Att_defense_dup,Tkl%,Lost,Blocks,Sh_defense_dup,Pass,Int,Tkl+Int,Clr,Err,fbref_id_defense_dup,stint_id
Nathan Aké,nl NED,DF,Manchester City,30,1995,18,6,695,7.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,eaeca114,7.7,0,7,1,14.3,0.91,0.13,0.0,0.0,0,0,eaeca114,7.7,,,,,,,,,,,,,,,0,,,,,,eaeca114,7.7,,,,,,,,,,,,,,,,,,,,,eaeca114,7.7,,6,,,,,,,,,,,5,,,,eaeca114,Nathan Aké__Manchester City
Carlos Alcaraz,ar ARG,MF,Everton,22,2002,20,6,689,7.7,0,1,1,0,0,0,4,0,0.0,0.13,0.13,0.0,0.13,4abac767,7.7,0,20,5,25.0,2.61,0.65,0.0,0.0,0,0,4abac767,7.7,,,,,,,,,,,,,,,1,,,,,,4abac767,7.7,,,,,,,,,,,,,,,,,,,,,4abac767,7.7,,9,,,,,,,,,,,2,,,,4abac767,Carlos Alcaraz__Everton
Omar Alderete,py PAR,DF,Sunderland,28,1996,33,32,2798,31.1,1,1,2,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,bb08bce9,31.1,1,24,9,37.5,0.77,0.29,0.04,0.11,0,0,bb08bce9,31.1,,,,,,,,,,,,,,,1,,,,,,bb08bce9,31.1,,,,,,,,,,,,,,,,,,,,,bb08bce9,31.1,,18,,,,,,,,,,,36,,,,bb08bce9,Omar Alderete__Sunderland
Alisson,br BRA,GK,Liverpool,32,1992,26,26,2340,26.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,7a2e46a8,26.0,0,0,0,,0.0,0.0,,,0,0,7a2e46a8,26.0,,,,,,,,,,,,,,,0,,,,,,7a2e46a8,26.0,,,,,,,,,,,,,,,,,,,,,7a2e46a8,26.0,,0,,,,,,,,,,,0,,,,7a2e46a8,Alisson__Liverpool
Ethan Ampadu,wls WAL,MF,Leeds United,24,2000,35,35,3119,34.7,1,1,2,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,10b9fa99,34.7,1,26,6,23.1,0.75,0.17,0.04,0.17,0,0,10b9fa99,34.7,,,,,,,,,,,,,,,1,,,,,,10b9fa99,34.7,,,,,,,,,,,,,,,,,,,,,10b9fa99,34.7,,46,,,,,,,,,,,50,,,,10b9fa99,Ethan Ampadu__Leeds United
Joachim Andersen,dk DEN,DF,Fulham,29,1996,33,33,2875,31.9,0,1,1,0,0,0,7,1,0.0,0.03,0.03,0.0,0.03,e34fc66d,31.9,0,16,4,25.0,0.5,0.13,0.0,0.0,0,0,e34fc66d,31.9,,,,,,,,,,,,,,,1,,,,,,e34fc66d,31.9,,,,,,,,,,,,,,,,,,,,,e34fc66d,31.9,,26,,,,,,,,,,,34,,,,e34fc66d,Joachim Andersen__Fulham
Elliot Anderson,eng ENG,MF,Nottingham,22,2002,38,37,3331,37.0,4,4,8,3,1,1,8,0,0.11,0.11,0.22,0.08,0.19,de31038e,37.0,4,44,10,22.7,1.19,0.27,0.09,0.4,1,1,de31038e,37.0,,,,,,,,,,,,,,,4,,,,,,de31038e,37.0,,,,,,,,,,,,,,,,,,,,,de31038e,37.0,,60,,,,,,,,,,,41,,,,de31038e,Elliot Anderson__Nottingham
André,br BRA,MF,Wolves,24,2001,35,30,2762,30.7,1,0,1,1,0,0,12,0,0.03,0.0,0.03,0.03,0.03,ec604e2c,30.7,1,15,1,6.7,0.49,0.03,0.07,1.0,0,0,ec604e2c,30.7,,,,,,,,,,,,,,,0,,,,,,ec604e2c,30.7,,,,,,,,,,,,,,,,,,,,,ec604e2c,30.7,,42,,,,,,,,,,,25,,,,ec604e2c,André__Wolves
Jaidon Anthony,eng ENG,MF,Burnley,25,1999,37,32,2722,30.2,8,2,10,8,0,0,4,0,0.26,0.07,0.33,0.26,0.33,e4238fb1,30.2,8,55,23,41.8,1.82,0.76,0.15,0.35,0,0,e4238fb1,30.2,,,,,,,,,,,,,,,2,,,,,,e4238fb1,30.2,,,,,,,,,,,,,,,,,,,,,e4238fb1,30.2,,21,,,,,,,,,,,16,,,,e4238fb1,Jaidon Anthony__Burnley
Alphonse Areola,fr FRA,GK,West Ham,32,1993,20,20,1800,20.0,0,1,1,0,0,0,0,0,0.0,0.05,0.05,0.0,0.05,2f965a72,20.0,0,0,0,,0.0,0.0,,,0,0,2f965a72,20.0,,,,,,,,,,,,,,,1,,,,,,2f965a72,20.0,,,,,,,,,,,,,,,,,,,,,2f965a72,20.0,,0,,,,,,,,,,,1,,,,2f965a72,Alphonse Areola__West Ham
Jhon Arias,co COL,FWMF,Wolves,27,1997,23,14,1124,12.5,1,0,1,1,0,0,1,0,0.08,0.0,0.08,0.08,0.08,86d96066,12.5,1,16,3,18.8,1.28,0.24,0.06,0.33,0,0,86d96066,12.5,,,,,,,,,,,,,,,0,,,,,,86d96066,12.5,,,,,,,,,,,,,,,,,,,,,86d96066,12.5,,27,,,,,,,,,,,7,,,,86d96066,Jhon Arias__Wolves
Adam Armstrong,eng ENG,FWMF,Wolves,28,1997,14,14,1140,12.7,2,2,4,1,1,1,3,0,0.16,0.16,0.32,0.08,0.24,68c720b5,12.7,2,18,6,33.3,1.42,0.47,0.11,0.33,1,1,68c720b5,12.7,,,,,,,,,,,,,,,2,,,,,,68c720b5,12.7,,,,,,,,,,,,,,,,,,,,,68c720b5,12.7,,4,,,,,,,,,,,1,,,,68c720b5,Adam Armstrong__Wolves
Tolu Arokodare,ng NGA,FW,Wolves,24,2000,33,13,1419,15.8,3,1,4,3,0,1,1,0,0.19,0.06,0.25,0.19,0.25,a42760bc,15.8,3,46,16,34.8,2.92,1.01,0.07,0.19,0,1,a42760bc,15.8,,,,,,,,,,,,,,,1,,,,,,a42760bc,15.8,,,,,,,,,,,,,,,,,,,,,a42760bc,15.8,,4,,,,,,,,,,,5,,,,a42760bc,Tolu Arokodare__Wolves
Yasin Ayari,se SWE,MF,Brighton,21,2003,29,20,1929,21.4,3,3,6,3,0,0,1,0,0.14,0.14,0.28,0.14,0.28,f173303a,21.4,3,41,10,24.4,1.91,0.47,0.07,0.3,0,0,f173303a,21.4,,,,,,,,,,,,,,,3,,,,,,f173303a,21.4,,,,,,,,,,,,,,,,,,,,,f173303a,21.4,,25,,,,,,,,,,,26,,,,f173303a,Yasin Ayari__Brighton
Carlos Baleba,cm CMR,MF,Brighton,21,2004,31,23,1652,18.4,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,a1390d2f,18.4,0,20,2,10.0,1.09,0.11,0.0,0.0,0,0,a1390d2f,18.4,,,,,,,,,,,,,,,0,,,,,,a1390d2f,18.4,,,,,,,,,,,,,,,,,,,,,a1390d2f,18.4,,21,,,,,,,,,,,28,,,,a1390d2f,Carlos Baleba__Brighton
Daniel Ballard,nir NIR,DF,Sunderland,25,1999,29,24,2149,23.9,2,0,2,2,0,0,4,1,0.08,0.0,0.08,0.08,0.08,38f300f3,23.9,2,26,9,34.6,1.09,0.38,0.08,0.22,0,0,38f300f3,23.9,,,,,,,,,,,,,,,0,,,,,,38f300f3,23.9,,,,,,,,,,,,,,,,,,,,,38f300f3,23.9,,17,,,,,,,,,,,20,,,,38f300f3,Daniel Ballard__Sunderland
Ross Barkley,eng ENG,MF,Aston Villa,31,1993,21,7,857,9.5,3,1,4,3,0,0,1,0,0.32,0.11,0.42,0.32,0.42,3a24769f,9.5,3,18,8,44.4,1.89,0.84,0.17,0.38,0,0,3a24769f,9.5,,,,,,,,,,,,,,,1,,,,,,3a24769f,9.5,,,,,,,,,,,,,,,,,,,,,3a24769f,9.5,,11,,,,,,,,,,,2,,,,3a24769f,Ross Barkley__Aston Villa
Harvey Barnes,eng ENG,FWMF,Newcastle,27,1997,37,19,1966,21.8,7,1,8,7,0,0,1,0,0.32,0.05,0.37,0.32,0.37,3ea50f67,21.8,7,58,21,36.2,2.66,0.96,0.12,0.33,0,0,3ea50f67,21.8,,,,,,,,,,,,,,,1,,,,,,3ea50f67,21.8,,,,,,,,,,,,,,,,,,,,,3ea50f67,21.8,,5,,,,,,,,,,,3,,,,3ea50f67,Harvey Barnes__Newcastle
Thierno Barry,fr FRA,FW,Everton,22,2002,38,21,1914,21.3,8,0,8,8,0,0,3,0,0.38,0.0,0.38,0.38,0.38,52c3244b,21.3,8,38,14,36.8,1.79,0.66,0.21,0.57,0,0,52c3244b,21.3,,,,,,,,,,,,,,,0,,,,,,52c3244b,21.3,,,,,,,,,,,,,,,,,,,,,52c3244b,21.3,,4,,,,,,,,,,,5,,,,52c3244b,Thierno Barry__Everton
Calvin Bassey,ng NGA,DF,Fulham,25,1999,30,28,2534,28.2,1,0,1,1,0,0,5,0,0.04,0.0,0.04,0.04,0.04,a36524bf,28.2,1,12,1,8.3,0.43,0.04,0.08,1.0,0,0,a36524bf,28.2,,,,,,,,,,,,,,,0,,,,,,a36524bf,28.2,,,,,,,,,,,,,,,,,,,,,a36524bf,28.2,,32,,,,,,,,,,,22,,,,a36524bf,Calvin Bassey__Fulham
Jean-Ricner Bellegarde,ht HAI,MFFW,Wolves,27,1998,26,15,1248,13.9,1,1,2,1,0,0,5,0,0.07,0.07,0.14,0.07,0.14,10f0fdd3,13.9,1,21,7,33.3,1.51,0.5,0.05,0.14,0,0,10f0fdd3,13.9,,,,,,,,,,,,,,,1,,,,,,10f0fdd3,13.9,,,,,,,,,,,,,,,,,,,,,10f0fdd3,13.9,,15,,,,,,,,,,,9,,,,10f0fdd3,Jean-Ricner Bellegarde__Wolves
Rodrigo Bentancur,uy URU,MF,Tottenham,28,1997,26,23,1883,20.9,1,1,2,1,0,0,7,0,0.05,0.05,0.1,0.05,0.1,3b8674e6,20.9,1,13,3,23.1,0.62,0.14,0.08,0.33,0,0,3b8674e6,20.9,,,,,,,,,,,,,,,1,,,,,,3b8674e6,20.9,,,,,,,,,,,,,,,,,,,,,3b8674e6,20.9,,36,,,,,,,,,,,36,,,,3b8674e6,Rodrigo Bentancur__Tottenham
Sander Berge,no NOR,MF,Fulham,27,1998,35,34,2905,32.3,0,1,1,0,0,0,5,0,0.0,0.03,0.03,0.0,0.03,d0b6129f,32.3,0,14,3,21.4,0.43,0.09,0.0,0.0,0,0,d0b6129f,32.3,,,,,,,,,,,,,,,1,,,,,,d0b6129f,32.3,,,,,,,,,,,,,,,,,,,,,d0b6129f,32.3,,41,,,,,,,,,,,26,,,,d0b6129f,Sander Berge__Fulham
Lucas Bergvall,se SWE,MF,Tottenham,19,2006,23,11,965,10.7,1,3,4,1,0,0,2,0,0.09,0.28,0.37,0.09,0.37,a109e5c8,10.7,1,12,5,41.7,1.12,0.47,0.08,0.2,0,0,a109e5c8,10.7,,,,,,,,,,,,,,,3,,,,,,a109e5c8,10.7,,,,,,,,,,,,,,,,,,,,,a109e5c8,10.7,,14,,,,,,,,,,,3,,,,a109e5c8,Lucas Bergvall__Tottenham
Beto,gw GNB,FW,Everton,27,1998,37,17,1568,17.4,9,1,10,9,0,0,3,0,0.52,0.06,0.57,0.52,0.57,ed5c0319,17.4,9,43,17,39.5,2.47,0.98,0.21,0.53,0,0,ed5c0319,17.4,,,,,,,,,,,,,,,1,,,,,,ed5c0319,17.4,,,,,,,,,,,,,,,,,,,,,ed5c0319,17.4,,5,,,,,,,,,,,1,,,,ed5c0319,Beto__Everton
Jaka Bijol,si SVN,DF,Leeds United,26,1999,25,21,1890,21.0,1,2,3,1,0,0,4,0,0.05,0.1,0.14,0.05,0.14,6fdac234,21.0,1,15,6,40.0,0.71,0.29,0.07,0.17,0,0,6fdac234,21.0,,,,,,,,,,,,,,,2,,,,,,6fdac234,21.0,,,,,,,,,,,,,,,,,,,,,6fdac234,21.0,,13,,,,,,,,,,,22,,,,6fdac234,Jaka Bijol__Leeds United
Yves Bissouma,ml MLI,MF,Tottenham,28,1996,11,7,603,6.7,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,6c203af0,6.7,0,5,2,40.0,0.75,0.3,0.0,0.0,0,0,6c203af0,6.7,,,,,,,,,,,,,,,0,,,,,,6c203af0,6.7,,,,,,,,,,,,,,,,,,,,,6c203af0,6.7,,11,,,,,,,,,,,8,,,,6c203af0,Yves Bissouma__Tottenham
Lamare Bogarde,nl NED,MFDF,Aston Villa,21,2004,28,11,1053,11.7,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,bca5c4a7,11.7,0,0,0,,0.0,0.0,,,0,0,bca5c4a7,11.7,,,,,,,,,,,,,,,0,,,,,,bca5c4a7,11.7,,,,,,,,,,,,,,,,,,,,,bca5c4a7,11.7,,19,,,,,,,,,,,4,,,,bca5c4a7,Lamare Bogarde__Aston Villa
Jayden Bogle,eng ENG,MFDF,Leeds United,25,2000,34,32,2793,31.0,1,2,3,1,0,0,6,0,0.03,0.06,0.1,0.03,0.1,ae5019e6,31.0,1,18,4,22.2,0.58,0.13,0.06,0.25,0,0,ae5019e6,31.0,,,,,,,,,,,,,,,2,,,,,,ae5019e6,31.0,,,,,,,,,,,,,,,,,,,,,ae5019e6,31.0,,43,,,,,,,,,,,30,,,,ae5019e6,Jayden Bogle__Leeds United
Olivier Boscagli,fr FRA,DF,Brighton,27,1997,12,9,802,8.9,0,1,1,0,0,0,2,0,0.0,0.11,0.11,0.0,0.11,403f5d20,8.9,0,1,0,0.0,0.11,0.0,0.0,,0,0,403f5d20,8.9,,,,,,,,,,,,,,,1,,,,,,403f5d20,8.9,,,,,,,,,,,,,,,,,,,,,403f5d20,8.9,,11,,,,,,,,,,,16,,,,403f5d20,Olivier Boscagli__Brighton
Sven Botman,nl NED,DF,Newcastle,25,2000,25,21,1835,20.4,1,1,2,1,0,0,2,0,0.05,0.05,0.1,0.05,0.1,ccce7025,20.4,1,15,4,26.7,0.74,0.2,0.07,0.25,0,0,ccce7025,20.4,,,,,,,,,,,,,,,1,,,,,,ccce7025,20.4,,,,,,,,,,,,,,,,,,,,,ccce7025,20.4,,14,,,,,,,,,,,25,,,,ccce7025,Sven Botman__Newcastle
Jarrod Bowen,eng ENG,MFFW,West Ham,28,1996,38,38,3403,37.8,9,11,20,8,1,1,4,0,0.24,0.29,0.53,0.21,0.5,79c84d1c,37.8,9,79,28,35.4,2.09,0.74,0.11,0.32,1,1,79c84d1c,37.8,,,,,,,,,,,,,,,11,,,,,,79c84d1c,37.8,,,,,,,,,,,,,,,,,,,,,79c84d1c,37.8,,28,,,,,,,,,,,27,,,,79c84d1c,Jarrod Bowen__West Ham
Conor Bradley,nir NIR,DF,Liverpool,22,2003,15,12,929,10.3,0,1,1,0,0,0,5,0,0.0,0.1,0.1,0.0,0.1,bbd67769,10.3,0,6,0,0.0,0.58,0.0,0.0,,0,0,bbd67769,10.3,,,,,,,,,,,,,,,1,,,,,,bbd67769,10.3,,,,,,,,,,,,,,,,,,,,,bbd67769,10.3,,15,,,,,,,,,,,12,,,,bbd67769,Conor Bradley__Liverpool
Jarrad Branthwaite,eng ENG,DF,Everton,23,2002,10,7,680,7.6,1,0,1,1,0,0,1,0,0.13,0.0,0.13,0.13,0.13,c1949191,7.6,1,6,2,33.3,0.79,0.26,0.17,0.5,0,0,c1949191,7.6,,,,,,,,,,,,,,,0,,,,,,c1949191,7.6,,,,,,,,,,,,,,,,,,,,,c1949191,7.6,,6,,,,,,,,,,,11,,,,c1949191,Jarrad Branthwaite__Everton
Brian Brobbey,nl NED,FW,Sunderland,23,2002,31,22,1927,21.4,7,1,8,7,0,0,6,0,0.33,0.05,0.37,0.33,0.37,4c184730,21.4,7,36,18,50.0,1.68,0.84,0.19,0.39,0,0,4c184730,21.4,,,,,,,,,,,,,,,1,,,,,,4c184730,21.4,,,,,,,,,,,,,,,,,,,,,4c184730,21.4,,2,,,,,,,,,,,0,,,,4c184730,Brian Brobbey__Sunderland
Armando Broja,al ALB,FW,Burnley,23,2001,24,8,860,9.6,1,1,2,1,0,0,0,0,0.1,0.1,0.21,0.1,0.21,97220da2,9.6,1,16,6,37.5,1.67,0.63,0.06,0.17,0,0,97220da2,9.6,,,,,,,,,,,,,,,1,,,,,,97220da2,9.6,,,,,,,,,,,,,,,,,,,,,97220da2,9.6,,3,,,,,,,,,,,3,,,,97220da2,Armando Broja__Burnley
David Brooks,wls WAL,MF,Bournemouth,28,1997,31,13,1204,13.4,1,3,4,1,0,0,7,0,0.07,0.22,0.3,0.07,0.3,dc4cae05,13.4,1,48,13,27.1,3.59,0.97,0.02,0.08,0,0,dc4cae05,13.4,,,,,,,,,,,,,,,3,,,,,,dc4cae05,13.4,,,,,,,,,,,,,,,,,,,,,dc4cae05,13.4,,13,,,,,,,,,,,4,,,,dc4cae05,David Brooks__Bournemouth
Jacob Bruun Larsen,dk DEN,MFFW,Burnley,26,1998,28,10,1030,11.4,0,1,1,0,0,0,0,0,0.0,0.09,0.09,0.0,0.09,4e204552,11.4,0,17,4,23.5,1.49,0.35,0.0,0.0,0,0,4e204552,11.4,,,,,,,,,,,,,,,1,,,,,,4e204552,11.4,,,,,,,,,,,,,,,,,,,,,4e204552,11.4,,3,,,,,,,,,,,6,,,,4e204552,Jacob Bruun Larsen__Burnley
Emi Buendía,ar ARG,MF,Aston Villa,28,1996,36,21,1755,19.5,6,2,8,6,0,0,6,0,0.31,0.1,0.41,0.31,0.41,66b76d44,19.5,6,49,13,26.5,2.51,0.67,0.12,0.46,0,0,66b76d44,19.5,,,,,,,,,,,,,,,2,,,,,,66b76d44,19.5,,,,,,,,,,,,,,,,,,,,,66b76d44,19.5,,27,,,,,,,,,,,13,,,,66b76d44,Emi Buendía__Aston Villa
Hugo Bueno,es ESP,MFDF,Wolves,22,2002,35,26,2366,26.3,1,2,3,1,0,0,3,0,0.04,0.08,0.11,0.04,0.11,bfc3b3a0,26.3,1,16,6,37.5,0.61,0.23,0.06,0.17,0,0,bfc3b3a0,26.3,,,,,,,,,,,,,,,2,,,,,,bfc3b3a0,26.3,,,,,,,,,,,,,,,,,,,,,bfc3b3a0,26.3,,35,,,,,,,,,,,33,,,,bfc3b3a0,Hugo Bueno__Wolves
Santiago Bueno,uy URU,DF,Wolves,26,1998,29,28,2553,28.4,3,1,4,3,0,0,4,0,0.11,0.04,0.14,0.11,0.14,edc98fac,28.4,3,10,7,70.0,0.35,0.25,0.3,0.43,0,0,edc98fac,28.4,,,,,,,,,,,,,,,1,,,,,,edc98fac,28.4,,,,,,,,,,,,,,,,,,,,,edc98fac,28.4,,30,,,,,,,,,,,27,,,,edc98fac,Santiago Bueno__Wolves
Dan Burn,eng ENG,DF,Newcastle,33,1992,29,25,2199,24.4,1,2,3,1,0,0,11,1,0.04,0.08,0.12,0.04,0.12,b2d31e83,24.4,1,10,3,30.0,0.41,0.12,0.1,0.33,0,0,b2d31e83,24.4,,,,,,,,,,,,,,,2,,,,,,b2d31e83,24.4,,,,,,,,,,,,,,,,,,,,,b2d31e83,24.4,,26,,,,,,,,,,,20,,,,b2d31e83,Dan Burn__Newcastle
Moisés Caicedo,ec ECU,MF,Chelsea,23,2001,33,32,2795,31.1,3,1,4,3,0,0,11,1,0.1,0.03,0.13,0.1,0.13,16264a81,31.1,3,27,7,25.9,0.87,0.23,0.11,0.43,0,0,16264a81,31.1,,,,,,,,,,,,,,,1,,,,,,16264a81,31.1,,,,,,,,,,,,,,,,,,,,,16264a81,31.1,,47,,,,,,,,,,,59,,,,16264a81,Moisés Caicedo__Chelsea
Tom Cairney,sct SCO,MF,Fulham,34,1991,24,6,775,8.6,2,0,2,2,0,0,3,0,0.23,0.0,0.23,0.23,0.23,a8748947,8.6,2,17,2,11.8,1.97,0.23,0.12,1.0,0,0,a8748947,8.6,,,,,,,,,,,,,,,0,,,,,,a8748947,8.6,,,,,,,,,,,,,,,,,,,,,a8748947,8.6,,4,,,,,,,,,,,4,,,,a8748947,Tom Cairney__Fulham
Riccardo Calafiori,it ITA,DF,Arsenal,23,2002,26,22,1699,18.9,1,2,3,1,0,0,5,0,0.05,0.11,0.16,0.05,0.16,aded8e6f,18.9,1,32,8,25.0,1.7,0.42,0.03,0.13,0,0,aded8e6f,18.9,,,,,,,,,,,,,,,2,,,,,,aded8e6f,18.9,,,,,,,,,,,,,,,,,,,,,aded8e6f,18.9,,19,,,,,,,,,,,13,,,,aded8e6f,Riccardo Calafiori__Arsenal
Dominic Calvert-Lewin,eng ENG,FW,Leeds United,28,1997,35,30,2721,30.2,14,1,15,10,4,5,3,0,0.46,0.03,0.5,0.33,0.36,59e6e5bf,30.2,14,73,34,46.6,2.41,1.12,0.19,0.41,4,5,59e6e5bf,30.2,,,,,,,,,,,,,,,1,,,,,,59e6e5bf,30.2,,,,,,,,,,,,,,,,,,,,,59e6e5bf,30.2,,4,,,,,,,,,,,5,,,,59e6e5bf,Dominic Calvert-Lewin__Leeds United
